(ad,1057) (75,1057)
(2b,143) (43,143)
(4d9,128b) (871,128b)
(efd,14e9) (945,14e9)
(ae7,1cdb) (2c7,1cdb)
(f5,187) (7d,187)
(745,863) (d,863)
(b29,1691) (2e9,1691)
(487,12d3) (13f,12d3)
(101,12b) (71,12b)
(178f,1ae7) (2ef,1ae7)
(241,383) (139,383)
(1cf,f71) (1cf,f71)
(63d,6d7) (175,6d7)
(6b,323) (143,323)
(581,9cb) (479,9cb)
(1c0d,2339) (d49,2339)
(361,105b) (301,105b)
(427,87d) (197,87d)
(2d9,a15) (a9,a15)
(19c7,1f15) (c77,1f15)
(31f,197f) (c7,197f)
(8d1,e0f) (139,e0f)
(7c9,cf5) (d9,cf5)
(2f,535) (233,535)
(335,5bd) (dd,5bd)
(6b,bb) (3,bb)
(11d7,231d) (9c7,231d)
(11b,1b5) (7,1b5)
(421,589) (181,589)
(955,c43) (30d,c43)
(1753,191f) (583,191f)
(51b,6e3) (233,6e3)
(3ad,68f) (65,68f)
(16d3,1af5) (78b,1af5)
(2d5,4df) (1e5,4df)
(f77,1123) (2a7,1123)
(ac9,c3b) (349,c3b)
(2097,24a3) (f87,24a3)
(11e3,1483) (66b,1483)
(61,c1f) (99,c1f)
(fb,c4d) (56f,c4d)
(1795,191f) (3fd,191f)
(1591,1963) (f1,1963)
(301,391) (d1,391)
(a85,bed) (359,bed)
(d99,e41) (169,e41)
(5c3,6d7) (18b,6d7)
(7cb,f3d) (23b,f3d)
(4ef,781) (10f,781)
(911,12d3) (641,12d3)
(a81,1811) (8a1,1811)
(b5,39b) (b5,39b)
(50f,1def) (aaf,1def)
(35f,4d9) (11f,4d9)
(283,3ef) (73,3ef)
(2d7,4ed) (67,4ed)
(841,1b77) (a51,1b77)
(4e3,a15) (34b,a15)
(331,383) (49,383)
(317,3ef) (47,3ef)
(305,ca1) (22d,ca1)
(e95,126d) (8dd,126d)
(97d,1ccd) (815,1ccd)
(11e7,12e9) (3b3,12e9)
(507,d09) (283,d09)
(3c7,4f7) (67,4f7)
(29,dd) (59,dd)
(419,887) (d1,887)
(97,5ed) (187,5ed)
(4d,143) (65,143)
(b71,e41) (5d1,e41)
(16c3,1b77) (8b,1b77)
(167f,2039) (47f,2039)
(a7f,e0f) (3d7,e0f)
(275,68f) (19d,68f)
(36d,431) (115,431)
(269,973) (459,973)
(1a5,5e9) (12d,5e9)
(173,289) (6f,289)
(d39,f1d) (49,f1d)
(263,545) (1af,545)
(d39,1055) (709,1055)
(b6b,3613) (fbb,3613)
(8db,1415) (953,1415)
(39,499) (5d,499)
(11c3,321b) (503,321b)
(1357,1ccd) (547,1ccd)
(481,719) (1bd,719)
(3d,3dd) (199,3dd)
(40d,5bd) (c5,5bd)
(d,1ed) (45,1ed)
